### Footprint positions - created on 2023-12-12T18:15:51+0100 ###
### Printed by KiCad version 7.99.0-3924-g53fd1aaf5e
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                   Package                                             PosX       PosY       Rot  Side
A501      Arduino_UNO_R3        Arduino_UNO_R3_Double_Rows                       25.4000    58.4200    0.0000  top
C201      10uF                  C_1206_3216Metric                                46.9900    27.4250  -90.0000  top
C202      10uF                  C_1206_3216Metric                                44.4500    27.4250  -90.0000  top
C203      10uF                  C_1206_3216Metric                                41.9100    27.4250  -90.0000  top
C204      10nF                  C_0805_2012Metric                                32.0700    22.8600  180.0000  top
C205      10uF                  C_1206_3216Metric                                40.4800    15.2400  180.0000  top
C301      1nF                   C_0805_2012Metric                                37.1500    45.7200   90.0000  top
D201      SS54                  D_SMA                                            53.8800    25.4000  180.0000  top
D202      SS54                  D_SMA                                            53.8800    30.4800    0.0000  top
D203      SS54                  D_SMA                                            53.8800    15.2400  180.0000  top
D204      SS54                  D_SMA                                            53.8800    20.3200    0.0000  top
D205      SS54                  D_SMA                                            25.4000    30.4800    0.0000  top
D301      1N4148W               D_SOD-123                                        40.6400    45.7200   90.0000  top
D401      1N4148W               D_SOD-123                                        50.8000    36.4500  -90.0000  top
D501      LED                   LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder    59.9349    35.5600  180.0000  top
D502      LED                   LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder    59.9349    38.1000  180.0000  top
J501      Screw_Terminal_01x02  TerminalBlock_4Ucon_1x02_P3.50mm_Vertical        63.2408    26.3600  -90.0000  top
L201      22uH                  L_12x12mm_H8mm                                   22.9900    20.3200    0.0000  top
Q301      T2N7002BK             SOT-23                                           27.0025    38.1000    0.0000  top
Q401      S8050                 SOT-23                                           46.6700    35.1059   90.0000  top
Q402      S8550                 SOT-23                                           53.7501    44.1450  180.0000  top
Q403      S8550                 SOT-23                                           59.3699    47.6350  -90.0000  top
Q404      S8050                 SOT-23                                           48.2600    47.6350  -90.0000  top
R201      10k                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      45.7200    19.4950   90.0000  top
R202      1.58k                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      37.2750    22.8600  180.0000  top
R301      1k3                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      43.1799    47.6350  -90.0000  top
R302      220R                  R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      22.8600    46.6325  -90.0000  top
R303      5k                    R_0805_2012Metric_Pad1.20x1.40mm_HandSolder       5.0800    44.0925  -90.0000  top
R304      6k8                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      33.0200    38.1000   90.0000  top
R305      6k8                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      38.1000    37.1000   90.0000  top
R306      22k                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      45.7199    40.0150  180.0000  top
R401      20                    R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      59.9598    42.5550    0.0000  top
R402      6k8                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      49.8000    42.5550  180.0000  top
R403      10k                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      53.3400    48.2600  180.0000  top
R501      3k3                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      54.8799    35.6950    0.0000  top
R502      3k3                   R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      54.8799    38.1000    0.0000  top
U201      TPS5430DDA            TI_SO-PowerPAD-8_ThermalVias                     35.0800    28.1000   90.0000  top
U302      EL817                 DIP-4_W7.62mm_SMDSocket_SmallPads                30.4800    45.7200  180.0000  top
## End
