"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R301";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k3";;;
2;"Q402,Q403";"SOT-23";2;"S8550";;;
3;"R401";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20";;;
4;"D501,D502";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
5;"R402";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6k8";;;
6;"C204";"C_0805_2012Metric";1;"10nF";;;
7;"U302";"DIP-4_W7.62mm_SMDSocket_SmallPads";1;"EL817";;;
8;"A501";"Arduino_UNO_R3_Double_Rows";1;"Arduino_UNO_R3";;;
9;"J501";"TerminalBlock_4Ucon_1x02_P3.50mm_Vertical";1;"Screw_Terminal_01x02";;;
10;"R303";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k";;;
11;"L201";"L_12x12mm_H8mm";1;"22uH";;;
12;"R201,R403";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
13;"D301";"D_SOD-123";1;"1N4148W";;;
14;"R302";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220R";;;
15;"D202,D201,D203,D204,D205";"D_SMA";5;"SS54";;;
16;"C203,C205,C202,C201";"C_1206_3216Metric";4;"10uF";;;
17;"U201";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS5430DDA";;;
18;"R502,R501";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3k3";;;
19;"R202";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.58k";;;
20;"Q401,Q404";"SOT-23";2;"S8050";;;
21;"C301";"C_0805_2012Metric";1;"1nF";;;
22;"JP_RAILCOM401";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"SolderJumper_2_Open";;;
