Ref,Val,Package,PosX,PosY,Rot,Side
"C401","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.193400,-97.824800,0.000000,top
"C601","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",157.343800,-115.078400,180.000000,top
"C602","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.157500,-114.935000,0.000000,top
"D101","LED_BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.895000,-105.410000,0.000000,top
"D102","LED_GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.780000,-111.760000,0.000000,top
"D103","LED_YELLOW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.025000,-90.805000,180.000000,top
"D104","LED_WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.025000,-92.710000,0.000000,top
"D105","LED_RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.780000,-103.505000,0.000000,top
"D401","SM4007","D_SMA_Handsoldering",151.805000,-90.805000,0.000000,top
"D402","SM4007","D_SMA_Handsoldering",160.695000,-102.870000,0.000000,top
"D501","SS54","D_SMA_Handsoldering",149.225000,-110.490000,90.000000,top
"D502","SS54","D_SMA_Handsoldering",153.035000,-110.450000,-90.000000,top
"D503","SS54","D_SMA_Handsoldering",153.035000,-97.195000,-90.000000,top
"D504","SS54","D_SMA_Handsoldering",149.225000,-97.115000,90.000000,top
"J101","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Horizontal",140.970000,-113.665000,180.000000,top
"Q201","S8050","SOT-23",155.260000,-77.772500,-90.000000,top
"Q202","S8550","SOT-23",149.225000,-78.740000,-90.000000,top
"Q203","S8550","SOT-23",148.275000,-74.295000,90.000000,top
"Q204","S8050","SOT-23",160.352500,-80.325000,180.000000,top
"R101","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.780000,-107.315000,0.000000,top
"R102","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.780000,-113.665000,0.000000,top
"R103","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.050000,-94.615000,180.000000,top
"R104","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.781400,-101.476700,180.000000,top
"R201","10R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.510000,-72.390000,-90.000000,top
"R202","10R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.405100,-72.390000,-90.000000,top
"R203","10R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.510000,-75.200000,0.000000,top
"R204","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.925000,-76.200000,0.000000,top
"R205","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.145000,-82.280000,-90.000000,top
"R306","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.605000,-80.867500,-90.000000,top
"R307","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.605000,-84.725000,-90.000000,top
"R401","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.210000,-95.885000,180.000000,top
"R402","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.189400,-99.780800,0.000000,top
"R403","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.210000,-93.980000,0.000000,top
"R404","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.275000,-90.170000,0.000000,top
"R405","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.560000,-90.170000,0.000000,top
"R406","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.385000,-90.170000,0.000000,top
"R407","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.290000,-99.695000,180.000000,top
"R408","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.370000,-99.695000,180.000000,top
"R501","2R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.000800,-103.591100,90.000000,top
"R502","2R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.540800,-103.591100,-90.000000,top
"R503","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.735000,-106.680000,0.000000,top
"R504","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.735000,-109.220000,0.000000,top
"R505","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.735000,-111.760000,0.000000,top
"R506","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.735000,-114.300000,0.000000,top
"U501","LM339","SOIC-14_3.9x8.7mm_P1.27mm",163.735000,-94.867500,-90.000000,top
"U601","74HC02","SOIC-14_3.9x8.7mm_P1.27mm",158.685000,-109.220000,180.000000,top
