"Reference","Value","Footprint","Qty","DNP"
"A101","Arduino_UNO_R3","Module:Arduino_UNO_R3","1",""
"C301","47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D203,D204,D205,D206,D303,D304,D305,D306","SS54","Diode_SMD:D_SMA_Handsoldering","8",""
"D301,D302","1N4004","Diode_SMD:D_SOD-123F","2",""
"D401,D402,D501,D502,D601,D602,D701,D702,D801,D802","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","10",""
"J401,J501,J601,J701,J801","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","5",""
"R207,R208,R307,R308","1R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R209,R210,R211,R212,R309,R310,R311,R312","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R301,R302","220R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R303","180K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R304","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R305","820R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R306","33k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R401,R402,R501,R502,R601,R602,R701,R702,R801,R802","3k3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10",""
"SW101","SW_Push","","1",""
"U101","74HC02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U201,U301","LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
